edad,edad_quinquenal,ano,sexo,tipo_beneficio,estado,caja,suma_aportes,suma_salarios,cantidad,sml
83,80 a 84,2020,Hombres,Activos,Activos,IPS,7377484.5,59019876.0,16,2192839
83,80 a 84,2020,Mujeres,Activos,Activos,IPS,2510269.25,20082154.0,10,2192839
84,80 a 84,2020,Hombres,Activos,Activos,IPS,5886771.125,47094169.0,18,2192839
84,80 a 84,2020,Mujeres,Activos,Activos,IPS,5409374.625,43274997.0,9,2192839
85,85 y más,2020,Hombres,Activos,Activos,IPS,2375074.0,19000592.0,8,2192839
85,85 y más,2020,Mujeres,Activos,Activos,IPS,2357301.875,18858415.0,10,2192839
86,85 y más,2020,Hombres,Activos,Activos,IPS,1698814.625,13590517.0,6,2192839
86,85 y más,2020,Mujeres,Activos,Activos,IPS,2953760.25,23630082.0,10,2192839
87,85 y más,2020,Hombres,Activos,Activos,IPS,1678089.25,13424714.0,7,2192839
87,85 y más,2020,Mujeres,Activos,Activos,IPS,982536.5,7860292.0,6,2192839
88,85 y más,2020,Hombres,Activos,Activos,IPS,1096419.5,8771356.0,4,2192839
88,85 y más,2020,Mujeres,Activos,Activos,IPS,1503574.125,12028593.0,7,2192839
89,85 y más,2020,Hombres,Activos,Activos,IPS,2189808.125,17518465.0,8,2192839
89,85 y más,2020,Mujeres,Activos,Activos,IPS,1884649.0,15077192.0,7,2192839
90,85 y más,2020,Hombres,Activos,Activos,IPS,1196085.625,9568685.0,5,2192839
90,85 y más,2020,Mujeres,Activos,Activos,IPS,1286184.5,10289476.0,4,2192839
1,0 a 4,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,253861.0,1,2192839
2,0 a 4,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,866664.0,2,2192839
2,0 a 4,2020,Hombres,Otros,Pasivos,IPS,0.0,13157034.0,1,2192839
2,0 a 4,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,677828.0,3,2192839
3,0 a 4,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1337613.0,5,2192839
3,0 a 4,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3073880.0,7,2192839
4,0 a 4,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,5296230.0,6,2192839
4,0 a 4,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3191340.0,8,2192839
5,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,8307657.0,15,2192839
5,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,13316812.0,16,2192839
6,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,6744912.0,9,2192839
6,5 a 9,2020,Hombres,Otros,Pasivos,IPS,0.0,10562810.0,1,2192839
6,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,10552274.0,13,2192839
7,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,15201533.0,19,2192839
7,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,17103565.0,19,2192839
8,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,12168228.0,19,2192839
8,5 a 9,2020,Hombres,Otros,Pasivos,IPS,0.0,8450248.0,1,2192839
8,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,19225656.0,23,2192839
9,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,18353041.0,27,2192839
9,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,19813744.0,23,2192839
10,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,22184814.0,34,2192839
10,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,33663336.0,36,2192839
10,10 a 14,2020,Mujeres,Otros,Pasivos,IPS,0.0,12060614.0,1,2192839
11,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,24562359.0,34,2192839
11,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,29780680.0,30,2192839
12,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,33199669.0,40,2192839
12,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,31069433.0,38,2192839
13,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,51855518.0,59,2192839
13,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,33999306.0,40,2192839
14,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,58032565.0,69,2192839
14,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,58317181.0,64,2192839
15,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,75985933.0,75,2192839
15,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,62056540.0,64,2192839
16,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,92787075.0,90,2192839
